billboard_ranking,song,popular_or_not,spotify_popularity,bpm,loudness,key,key_scale,key_strength,chords_changes_rate,chords_key,chords_number_rate
31,Fukumean,1,87,120.13872528076172,-9.739548683166504,C,minor,0.8548087477684021,0.035765379667282104,A,0.008583690971136093
34,Need A Favor,1,80,145.90675354003906,-6.536611557006836,F,major,0.6334494352340698,0.09728182852268219,F#,0.01001430582255125
35,Dance The Night,1,88,101.73674011230469,-7.422954082489014,F,major,0.8178601264953613,0.040057223290205,A,0.008583690971136093
36,Love You Anyway,1,74,129.61953735351562,-8.154332160949707,Eb,major,0.8480057120323181,0.040057223290205,D,0.01001430582255125
39,Bad Habit,1,80,77.86904907226562,-8.20992660522461,G,major,0.8653618097305298,0.06294706463813782,F#,0.01287553645670414
40,La Bebe,1,87,78.38473510742188,-9.886757850646973,F,minor,0.6597224473953247,0.055793993175029755,C,0.0071530756540596485
41,Golden Hour,1,81,114.99036407470703,-7.304900646209717,G,major,0.8101586699485779,0.05007153004407883,F#,0.01287553645670414
42,Religiously,1,81,78.50568389892578,-7.296449184417725,C,minor,0.8329591155052185,0.041487839072942734,D,0.01001430582255125
44,Cupid,1,78,110.79373931884766,-8.725448608398438,Ab,major,0.7800942659378052,0.05722460523247719,A,0.008583690971136093
46,Barbie World,1,80,66.31660461425781,-8.711427688598633,Ab,minor,0.5227130651473999,0.12732474505901337,Ab,0.015736766159534454
48,Escapism,1,83,88.74229431152344,-8.052538871765137,Bb,minor,0.8091892600059509,0.055793993175029755,A,0.008583690971136093
51,Shirt,1,86,107.05842590332031,-9.97478199005127,Ab,major,0.7306699156761169,0.042918454855680466,G,0.01001430582255125
52,Paint The Town Red,1,88,92.34574127197266,-9.556589126586914,C#,major,0.580763041973114,0.09155937284231186,G,0.011444921605288982
53,Made You Look,1,85,134.2998809814453,-7.641751289367676,A,minor,0.39525508880615234,0.037195995450019836,Ab,0.01001430582255125
54,Wait In The Truck,1,69,129.4794158935547,-7.613708019256592,C,major,0.8073915243148804,0.028612302616238594,B,0.0071530756540596485
55,All I Want For Christmas Is You,1,70,139.07667541503906,-10.043811798095703,Bb,minor,0.39727339148521423,0.06437768042087555,F,0.014306151308119297
58,Heart Like A Truck,1,75,129.31356811523438,-7.888797760009766,Ab,major,0.7365241646766663,0.030042918398976326,G,0.008583690971136093
59,"Going, Going, Gone",1,77,148.29576110839844,-8.595724105834961,F,major,0.893986701965332,0.0200286116451025,E,0.005722460802644491
64,Eyes Closed,1,80,98.82720947265625,-7.966707706451416,F,minor,0.7215600609779358,0.02575107291340828,A,0.0071530756540596485
66,Try That In A Small Town,1,71,135.04234313964844,-5.719214916229248,A,minor,0.8606076836585999,0.055793993175029755,Ab,0.008583690971136093
67,Tennessee Orange,1,77,116.35733795166016,-8.4461088180542,Ab,major,0.7315763235092163,0.041487839072942734,C,0.008583690971136093
68,Jingle Bell Rock,1,50,111.07365417480469,-14.017512321472168,C,major,0.8312100172042847,0.06723891198635101,A,0.015736766159534454
74,I Remember Everything,1,92,146.37274169921875,-8.750788688659668,B,major,0.7203512191772461,0.04721030220389366,G,0.01001430582255125
77,Nobody Gets Me,1,86,107.05842590332031,-9.97478199005127,Ab,major,0.7306699156761169,0.042918454855680466,G,0.01001430582255125
78,Rich Men North Of Richmond,1,82,114.58415985107422,-16.150846481323242,A,major,0.782727837562561,0.06294706463813782,Ab,0.01001430582255125
82,Seven,1,87,115.29525756835938,-7.870823860168457,G,minor,0.7526485919952393,0.10729613900184631,A,0.015736766159534454
83,Wait For U,1,82,78.38993835449219,-8.490094184875488,F,minor,0.5325325131416321,0.06723891198635101,C#,0.01001430582255125
84,Last Christmas,1,71,99.54354858398438,-15.301015853881836,C,major,0.9102581143379211,0.07439199090003967,A,0.01287553645670414
