billboard_ranking,song,artist,year,popular_or_not,track_id,spotify_popularity,album,album_id,audio_link,bpm,loudness,key,key_scale,key_strength,chords_changes_rate,chords_key,chords_number_rate
29,Cuff It,Beyonce,2023,1,3IHaiorYWOcr8Kzs85PWF7,81,RENAISSANCE,6FJxoadUE4JNVwWHghBwnb,https://p.scdn.co/mp3-preview/1799de9ff42644af9773b6353358e54615696f19?cid=cfe923b2d660439caf2b557b21f31221,106.11165618896484,-8.993989944458008,Bb,minor,0.665439784526825,0.10586552321910858,D,0.014306151308119297
31,Fukumean,Gunna,2023,1,4rXLjWdF2ZZpXCVTfWcshS,87,a Gift & a Curse,5qmZefgh78fN3jsyPPlvuw,https://p.scdn.co/mp3-preview/f237ab921af697ba9b49e12fa167c2ce1a82d6b4?cid=6a78982078cb477d900388b0470ad9ad,120.13872528076172,-9.739548683166504,C,minor,0.8548087477684021,0.035765379667282104,A,0.008583690971136093
34,Need A Favor,Jelly Roll,2023,1,07on0OB2cdPt79IFsgdRUy,80,Whitsitt Chapel,2v1Lb9hidHkvvlIXYzSmeZ,https://p.scdn.co/mp3-preview/cddc53b034f5e8a7accf9f518c16b7c767dbf9f0?cid=6a78982078cb477d900388b0470ad9ad,145.90675354003906,-6.536611557006836,F,major,0.6334494352340698,0.09728182852268219,F#,0.01001430582255125
35,Dance The Night,Dua Lipa,2023,1,1vYXt7VSjH9JIM5oRRo7vA,88,Barbie The Album,0BaIaHcyBXuOWeM4Aas4EW,https://p.scdn.co/mp3-preview/acaea048f50a3b30ca24b348c84a6047373baabb?cid=cfe923b2d660439caf2b557b21f31221,101.73674011230469,-7.422954082489014,F,major,0.8178601264953613,0.040057223290205,A,0.008583690971136093
36,Love You Anyway,Luke Combs,2023,1,2kYevr8cbIAH2ha8210Bnz,74,Gettin' Old,5Uly85dJHHDfHQCsyUQ8gw,https://p.scdn.co/mp3-preview/1c9a6aa927e8fe8cdde43e167d8245a528f85bd4?cid=6a78982078cb477d900388b0470ad9ad,129.61953735351562,-8.154332160949707,Eb,major,0.8480057120323181,0.040057223290205,D,0.01001430582255125
39,Bad Habit,Steve Lacy,2023,1,1R7TwnwF1RuYNf5vXlpQUT,80,Gemini Rights,3Ks0eeH0GWpY4AU20D5HPD,https://p.scdn.co/mp3-preview/efe7c2fdd8fa727a108a1270b114ebedabfd766c?cid=6a78982078cb477d900388b0470ad9ad,77.86904907226562,-8.20992660522461,G,major,0.8653618097305298,0.06294706463813782,F#,0.01287553645670414
40,La Bebe,Yng Lvcas x Peso Pluma,2023,1,2UW7JaomAMuX9pZrjVpHAU,87,La Bebe (Remix),6aBVGuOUEuX18rHxyDWbti,https://p.scdn.co/mp3-preview/57c5d5266219b32d455ed22417155bbabde7170f?cid=6a78982078cb477d900388b0470ad9ad,78.38473510742188,-9.886757850646973,F,minor,0.6597224473953247,0.055793993175029755,C,0.0071530756540596485
41,Golden Hour,JVKE,2023,1,5odlY52u43F5BjByhxg7wg,81,this is what ____ feels like (Vol. 1-4),69AaAkdktFGnk9POmHENkT,https://p.scdn.co/mp3-preview/bcc17f30841d6fbf3cd7954c3e3cf669f11b6a21?cid=6a78982078cb477d900388b0470ad9ad,114.99036407470703,-7.304900646209717,G,major,0.8101586699485779,0.05007153004407883,F#,0.01287553645670414
42,Religiously,Bailey Zimmerman,2023,1,0rCFRyEy4WXjRXNpO80Dzs,81,Religiously. The Album.,19DGbjQW4oJmS1TLmr7OH3,https://p.scdn.co/mp3-preview/debc354616b7a8740a151f4f7fed551654eed742?cid=6a78982078cb477d900388b0470ad9ad,78.50568389892578,-7.296449184417725,C,minor,0.8329591155052185,0.041487839072942734,D,0.01001430582255125
44,Cupid,Fifty Fifty,2023,1,3yphjkz7V5xFXdfBEXVKL6,78,The Beginning,4lmebGP87hUt2h4nwsfd73,https://p.scdn.co/mp3-preview/3a7021f5109c12e4ddfd4ed25ad68cab367400a9?cid=6a78982078cb477d900388b0470ad9ad,110.79373931884766,-8.725448608398438,Ab,major,0.7800942659378052,0.05722460523247719,A,0.008583690971136093
