album,album_id,artist,year,billboard_ranking,popular_or_not,song,track_id,spotify_popularity,audio_link
La Bebe (Remix),6aBVGuOUEuX18rHxyDWbti,Yng Lvcas x Peso Pluma,2023,0,0,La Bebe,36LtTTJUeVpitIeVfrJcnV,47,https://p.scdn.co/mp3-preview/a38c13f5b2c1877f95959264e2a3a9b7c7a3fbab?cid=6a78982078cb477d900388b0470ad9ad
this is what ____ feels like (Vol. 1-4),69AaAkdktFGnk9POmHENkT,JVKE,2023,0,0,save your breath,5Ir3dOzPQ9Q30dC45J6QzH,52,https://p.scdn.co/mp3-preview/2e97d9846202066c33f41f14d357151efb1e646d?cid=6a78982078cb477d900388b0470ad9ad
Religiously. The Album.,19DGbjQW4oJmS1TLmr7OH3,Bailey Zimmerman,2023,0,0,Found Your Love,6IyriuNUSXTJEbuu19Q8oN,49,https://p.scdn.co/mp3-preview/85ef7df797a5522ba70b707bdfa12a52198bc079?cid=6a78982078cb477d900388b0470ad9ad
The Beginning,4lmebGP87hUt2h4nwsfd73,Fifty Fifty,2023,0,0,Tell Me - Live Studio Ver. OT4,14eQiuuQaoGmigbaAn6TK7,28,https://p.scdn.co/mp3-preview/1d0960ed3656b14ecf0b317a716dd9c7f802b546?cid=6a78982078cb477d900388b0470ad9ad
Barbie The Album,0BaIaHcyBXuOWeM4Aas4EW,Nicki Minaj & Ice Spice With Aqua,2023,0,0,butterflies,3r6wuvcMPjtIWlYdkpdMPM,50,https://p.scdn.co/mp3-preview/c78033ee32881eba7ff5606c5103248dcf178110?cid=6a78982078cb477d900388b0470ad9ad
My 21st Century Blues,3U8n8LzBx2o9gYXvvNq4uH,RAYE Featuring 070 Shake,2023,0,0,Fin.,7j7MArN6cotJVlbn5HOQ1t,52,https://p.scdn.co/mp3-preview/db386ed1ce459a5bf1c83fab574269b91195d259?cid=6a78982078cb477d900388b0470ad9ad
SOS,07w0rG5TETcyihsEIZR3qG,SZA,2023,0,0,Too Late,4rAg5bbrdZX00mXXhLvYXj,66,https://p.scdn.co/mp3-preview/cfd6bdd6babe9cead7864fc74f451307b38423e4?cid=6a78982078cb477d900388b0470ad9ad
Scarlet,6DmPNcfpkXBVRJsEIJY9tl,Doja Cat,2023,0,0,Balut,3yeVb5di44wD6CZ2sJromR,54,https://p.scdn.co/mp3-preview/9b67e66b1d05444aaea1c58823c0d83ed82f38b4?cid=6a78982078cb477d900388b0470ad9ad
Takin' It Back,4LVa9bljQRvLYpWr8qyaXs,Meghan Trainor,2023,0,0,Final Breath,22HxXTUuXM2jHtHMcu4V7o,34,https://p.scdn.co/mp3-preview/71dbffd9b14b787a05680b716312826d31671983?cid=6a78982078cb477d900388b0470ad9ad
the mockingbird & THE CROW,6Oynwy3OABCiAqN9w9UqBN,HARDY Featuring Lainey Wilson,2023,0,0,happy,3tSmTelJM5NTGjPC1lTCDo,47,https://p.scdn.co/mp3-preview/dbce3bc1f6559bd6c381213ac9f800dd732c373e?cid=6a78982078cb477d900388b0470ad9ad
