billboard_ranking,song,artist,year,popular_or_not,album_id,album,spotify_popularity,audio_link
37,Please Me,Cardi B & Bruno Mars,2019,1,5a4sJJ3qjn6hqRsvm0Veso,Please Me,77,https://p.scdn.co/mp3-preview/238d7b3cfe4c5723f5405dd34d737a709db57608?cid=6a78982078cb477d900388b0470ad9ad
38,Money,Cardi B,2019,1,2drqVzCt52KiDxKgl0Rq0P,Money,71,https://p.scdn.co/mp3-preview/9b2382588021d972339db42f947e740135fa8577?cid=6a78982078cb477d900388b0470ad9ad
39,You Need To Calm Down,Taylor Swift,2019,1,1NAmidJlEaVgA3MpcPFYGq,Lover,83,
40,Panini,Lil Nas X,2019,1,71BrrQxz8mZAneNSDE9Lov,Panini,69,https://p.scdn.co/mp3-preview/e9bf27ec0415fedffcfd48953b80352709664140?cid=6a78982078cb477d900388b0470ad9ad
41,Look Back At It,A Boogie Wit da Hoodie,2019,1,3r5hf3Cj3EMh1C2saQ8jyt,Hoodie SZN,81,https://p.scdn.co/mp3-preview/f2e60f4404785f1bdc8722f5315801dfb7aef2c6?cid=6a78982078cb477d900388b0470ad9ad
42,A Lot,21 Savage,2019,1,007DWn799UWvfY1wwZeENR,i am > i was,81,https://p.scdn.co/mp3-preview/8e4bedd4dd85c00a3cd298e59f209fd23818b7d6?cid=6a78982078cb477d900388b0470ad9ad
43,ME!,Taylor Swift Featuring Brendon Urie,2019,1,4UVHskbDYdguFDn5IHsQok,ME! (Originally Performed by Taylor Swift & Brendon Urie),10,https://p.scdn.co/mp3-preview/ca72bfb7f9336838a2f6e41e5d190592ab8b821c?cid=6a78982078cb477d900388b0470ad9ad
44,MIA,Bad Bunny Featuring Drake,2019,1,7CjJb2mikwAWA1V6kewFBF,X 100PRE,77,https://p.scdn.co/mp3-preview/16d353203889bd30097912a96e2788a097e5e328?cid=6a78982078cb477d900388b0470ad9ad
45,Pop Out,Polo G Featuring Lil Tjay,2019,1,26ztFK3E69j5THJQdyxC5w,Die A Legend,78,https://p.scdn.co/mp3-preview/48e0af5e57feb139e0f3bfaf6ccaf87b5f9475ab?cid=6a78982078cb477d900388b0470ad9ad
46,Beautiful Crazy,Luke Combs,2019,1,53Oa5Bu0UTU8o8qCTaHKoz,This One's for You Too (Deluxe Edition),82,https://p.scdn.co/mp3-preview/7160f5cd6c0e3aff6e2251b018bb0b88d2b8c101?cid=6a78982078cb477d900388b0470ad9ad
