billboard_ranking,song,artist,year,popular_or_not,album_id,album,spotify_popularity,audio_link
41,Laugh Now Cry Later,Drake Featuring Lil Durk,2020,1,5kTMOuwOinoSq1s9LjalgO,Laugh Now Cry Later (Originally Performed by Drake and Lil Durg) [Karaoke],25,https://p.scdn.co/mp3-preview/053a71d67e9c79037a7c849eccc2718d69e9a531?cid=6a78982078cb477d900388b0470ad9ad
42,Woah,Lil Baby,2020,1,1ynyQdPQiXdYJNQEDL1S3d,My Turn,67,
43,Death Bed,Powfu Featuring beabadoobee,2020,1,2p9gK2BcdrloHNJwarc9gc,death bed (coffee for your head),82,https://p.scdn.co/mp3-preview/e88548073883ae36ba42ee5f1d1096568e417737?cid=6a78982078cb477d900388b0470ad9ad
44,Senorita,Shawn Mendes & Camila Cabello,2020,1,0xzScN8P3hQAz3BT3YYX5w,Shawn Mendes (Deluxe),81,
45,HIGHEST IN THE ROOM,Travis Scott,2020,1,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,64,https://p.scdn.co/mp3-preview/2d4113dd008f19cd24e08c2e34ee9be93d90375e?cid=6a78982078cb477d900388b0470ad9ad
46,Bad Guy,Billie Eilish,2020,1,6lMlX68jJrx67hiCqdiDvW,bad guy (with Justin Bieber),66,
47,Mood,24kGoldn Featuring iann dior,2020,1,270o30h7cAlEhBnbuSpFZq,El Dorado,83,https://p.scdn.co/mp3-preview/c425299d5996843fc24308b896f7ce60fd262c99?cid=6a78982078cb477d900388b0470ad9ad
48,Rain On Me,Lady Gaga & Ariana Grande,2020,1,05c49JgPmL4Uz2ZeqRx5SP,Chromatica,75,
49,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2020,1,7e7t0MCrNDcJZsPwUKjmOc,Shoot For The Stars Aim For The Moon,78,
50,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020,1,5RG0OAI0o27ayhKCkRamRn,Party Tyme 144 (Vocal Versions Español),1,
51,Heart On Ice,Rod Wave,2020,1,7m3LlqH5j3aGBaJ6M6anIm,PTSD,71,https://p.scdn.co/mp3-preview/cd3b9077d6ca17ab1008ebd8984c494cd74d39ff?cid=6a78982078cb477d900388b0470ad9ad
52,Nobody But You,Blake Shelton Duet With Gwen Stefani,2020,1,4Kd33JPxTOcjTM29FrKoyT,Fully Loaded: God's Country,66,https://p.scdn.co/mp3-preview/bf2ca624b1c636192a0135cbb641d795e357b6e7?cid=6a78982078cb477d900388b0470ad9ad
53,Trampoline,SHAED,2020,1,5wg6T8bCVnRk3ToKy0yXG5,Melt (Deluxe),69,
54,Come & Go,Juice WRLD x Marshmello,2020,1,3rt9CHTA1UdpNZRqEtlPbl,Legends Never Die,49,
55,Truth Hurts,Lizzo,2020,1,2KJjOBX280F3hZZE1xO33O,Cuz I Love You (Super Deluxe),73,https://p.scdn.co/mp3-preview/3881b5ad53b2b6f1600bbc3b23a86ae256077ace?cid=6a78982078cb477d900388b0470ad9ad
56,If The World Was Ending,JP Saxe Featuring Julia Michaels,2020,1,538BxdI7oOQykSkEtyjhUD,Dangerous Levels of Introspection,75,https://p.scdn.co/mp3-preview/1cfdb522ce1ea9d3cb25cd0c40cafb8902033d38?cid=6a78982078cb477d900388b0470ad9ad
57,We Paid,Lil Baby & 42 Dugg,2020,1,6uhEg4ASZYLIilZFCBFy1r,My Turn (Deluxe),75,
58,Yummy,Justin Bieber,2020,1,1SN6N3fNkZk5oXQ9X46QZ3,Yummy,66,
59,One Man Band,Old Dominion,2020,1,0eu2mZjF6JQTuLCu9ils6m,Old Dominion,80,https://p.scdn.co/mp3-preview/7d5b158533aa7c22bd35730ec037856fd2e426c0?cid=6a78982078cb477d900388b0470ad9ad
60,Got What I Got,Jason Aldean,2020,1,2f0DzdU6QbWtZqSlN7s1s5,9,66,https://p.scdn.co/mp3-preview/96f8a77e6b2a2445c7e1afce5984b4fb132ec1dd?cid=6a78982078cb477d900388b0470ad9ad
61,Sunday Best,Surfaces,2020,1,5nX3zwIAgHttSudEHLTsAW,Where the Light Is,77,https://p.scdn.co/mp3-preview/0062178836f645d0c1ab0a84447cddd1022aec15?cid=6a78982078cb477d900388b0470ad9ad
62,Godzilla,Eminem Featuring Juice WRLD,2020,1,4otkd9As6YaxxEkIjXPiZ6,Music To Be Murdered By,85,
63,Bandit,Juice WRLD & YoungBoy Never Broke Again,2020,1,1btu0SV2DOI5HoFsvUd78F,Death Race For Love (Bonus Track Version),74,
64,Party Girl,StaySolidRocky,2020,1,6OrpY5LSOnkC8xbI5qOTvw,Fallin',75,https://p.scdn.co/mp3-preview/4504bbf1b076b997823b29b7366da149df29cac6?cid=6a78982078cb477d900388b0470ad9ad
65,Die From A Broken Heart,Maddie & Tae,2020,1,1HixYJpe6AJWGDpEbb7ZuE,The Way It Feels,70,
66,Popstar,DJ Khaled Featuring Drake,2020,1,5kE2OAuUYGBqqzscqgBXXf,KHALED KHALED,65,https://p.scdn.co/mp3-preview/9d2db23d552f926847bac6a0c1ab37bea908acc4?cid=6a78982078cb477d900388b0470ad9ad
67,All I Want For Christmas Is You,Mariah Carey,2020,1,61ulfFSmmxMhc2wCdmdMkN,Merry Christmas,70,https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=6a78982078cb477d900388b0470ad9ad
68,One Of Them Girls,Lee Brice,2020,1,3GyH4lUfzEkbxlaW5xTYYL,Lee Brice,63,https://p.scdn.co/mp3-preview/1f59206c5700e728493ed14d60d11db5683325b8?cid=6a78982078cb477d900388b0470ad9ad
69,Hard To Forget,Sam Hunt,2020,1,1xRcR4iSouBrfVhuqFkPAJ,SOUTHSIDE,64,
70,One Margarita,Luke Bryan,2020,1,0wnaUYW25dVLAzk41fp1Ez,Born Here Live Here Die Here,68,
71,Panini,Lil Nas X,2020,1,71BrrQxz8mZAneNSDE9Lov,Panini,69,https://p.scdn.co/mp3-preview/e9bf27ec0415fedffcfd48953b80352709664140?cid=6a78982078cb477d900388b0470ad9ad
72,Hot,Young Thug Featuring Gunna,2020,1,1bnHPO4dKK7IjvgrtVBcQh,So Much Fun,69,https://p.scdn.co/mp3-preview/950d342474c987475e98ef86a51ed95c0181e480?cid=6a78982078cb477d900388b0470ad9ad
73,I Hope You're Happy Now,Carly Pearce & Lee Brice,2020,1,44gX26I9jSjyy1KXAgquPc,Carly Pearce,69,
74,Emotionally Scarred,Lil Baby,2020,1,1ynyQdPQiXdYJNQEDL1S3d,My Turn,70,
75,Suicidal,YNW Melly & Juice WRLD,2020,1,4WE4KsdoZbISWStEzfcxvH,Suicidal (Remix) [feat. Juice WRLD],73,https://p.scdn.co/mp3-preview/049ce33702cfee3908e3626e9b8a7422d6cfefe3?cid=6a78982078cb477d900388b0470ad9ad
76,The Bigger Picture,Lil Baby,2020,1,6ZTl8hHvYNuEg4Mk8yxz75,The Bigger Picture,63,
77,Only Human,Jonas Brothers,2020,1,1Uf67JAtkVWfdydzFFqNF2,Happiness Begins,71,
78,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,2020,1,7e7t0MCrNDcJZsPwUKjmOc,Shoot For The Stars Aim For The Moon,72,
79,Sum 2 Prove,Lil Baby,2020,1,1ynyQdPQiXdYJNQEDL1S3d,My Turn,74,
80,Stuck With U,Ariana Grande & Justin Bieber,2020,1,5mUdh6YWnUvf0MfklEk1oi,Stuck with U,80,
81,Mood Swings,Pop Smoke Featuring Lil Tjay,2020,1,0Puv2Bu8uDHyVTOYBWNUE3,Mood Swings (Remix),48,
82,You Should Be Sad,Halsey,2020,1,68enXe5XcJdciSDAZr0Alr,Manic,72,
83,Dior,Pop Smoke,2020,1,6d1vGZsr6Uy3h9IigBpPAf,Meet The Woo,80,
84,Supalonely,BENEE Featuring Gus Dapperton,2020,1,3ZJSoxsPMkNC9eb6gUn0Q8,STELLA & STEVE,69,
85,Even Though I'm Leaving,Luke Combs,2020,1,0S9D5NIDp2YXhYwlvuJzqx,What You See Is What You Get,71,https://p.scdn.co/mp3-preview/5dc213a8764007bc3cacf5a7a3512bb2f60d5bc6?cid=6a78982078cb477d900388b0470ad9ad
86,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",2020,1,7q6zjWaLw8bN5nYiBWjrus,THE SCOTTS,75,https://p.scdn.co/mp3-preview/820f8579b290d5454ca9f32fde6e06358d8a3950?cid=6a78982078cb477d900388b0470ad9ad
87,Juicy,Doja Cat & Tyga,2020,1,1MmVkhiwTH0BkNOU3nw5d3,Hot Pink,70,https://p.scdn.co/mp3-preview/74aa9af9e83dc7afdcd3bb986c446c15e05095ac?cid=6a78982078cb477d900388b0470ad9ad
88,Be Like That,Kane Brown With Swae Lee & Khalid,2020,1,7MKfE4IRGdrH5bMkqaZ2Tp,Be Like That (feat. Swae Lee & Khalid),70,https://p.scdn.co/mp3-preview/20679a7cde8904f459d1a5b668b9f95390a3151e?cid=6a78982078cb477d900388b0470ad9ad
89,Homesick,Kane Brown,2020,1,4yf4bD1iM96hBH6aIc6SaF,Experiment Extended,64,https://p.scdn.co/mp3-preview/71362d80fb2998c46b6bef444e28df6ea58676e0?cid=6a78982078cb477d900388b0470ad9ad
90,Rags2Riches,Rod Wave Featuring ATR Son Son,2020,1,7a5cMcFWSeppy4Soc0QHcY,Pray 4 Love,56,https://p.scdn.co/mp3-preview/cf826a1f57750d16a4759a06d2a9b01a35f4e0ea?cid=6a78982078cb477d900388b0470ad9ad
91,Bluebird,Miranda Lambert,2020,1,5Or2XM0Gjy6Y8qlaERqsSn,Wildcard,67,https://p.scdn.co/mp3-preview/9cf24b065862c1f6cb1ecbaf76a4e1486f38b031?cid=6a78982078cb477d900388b0470ad9ad
92,Wishing Well,Juice WRLD,2020,1,6n9DKpOxwifT5hOXtgLZSL,Legends Never Die,79,
93,Does To Me,Luke Combs Featuring Eric Church,2020,1,0S9D5NIDp2YXhYwlvuJzqx,What You See Is What You Get,69,https://p.scdn.co/mp3-preview/c15b666f0697f65cc7aa912cf862156ab795bfa6?cid=6a78982078cb477d900388b0470ad9ad
94,P*$$y Fairy (OTW),Jhene Aiko,2020,1,0NC1AcoK5y2cBLwzej6tqE,P*$$Y Fairy (OTW),69,
95,ily,Surf Mesa Featuring Emilee,2020,1,3iW6t3t4c18qRC8NjvHenG,this is how i learn to say no,60,
96,More Than My Hometown,Morgan Wallen,2020,1,6JlCkqkqobGirPsaleJpFr,Dangerous: The Double Album,80,
97,Lovin' On You,Luke Combs,2020,1,6VCO0fDBGbRW8mCEvV95af,Lovin On Me,93,https://p.scdn.co/mp3-preview/eeeb6151d0049367b3ad3db0389e9e3b116c0774?cid=6a78982078cb477d900388b0470ad9ad
98,Said Sum,Moneybagg Yo,2020,1,4faPRidDvKRvHnWdvmvVHv,Code Red,67,
99,Slide,H.E.R. Featuring YG,2020,1,4IwODpNZKFYkHWXSeWMGmP,Back of My Mind,58,https://p.scdn.co/mp3-preview/237ccb7ece5a35030008e4146a256ac5af034e0b?cid=6a78982078cb477d900388b0470ad9ad
100,Walk Em Down,NLE Choppa Featuring Roddy Ricch,2020,1,4dsMe3EBC8xURaxMhyorgf,Top Shotta,73,https://p.scdn.co/mp3-preview/b01bc02c42e27c4887a7d4547851c9b872413cc6?cid=6a78982078cb477d900388b0470ad9ad
1,Levitating,Dua Lipa,2021,1,5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,81,https://p.scdn.co/mp3-preview/6af6db91dba9103cca41d6d5225f6fe120fcfcd3?cid=6a78982078cb477d900388b0470ad9ad
2,Save Your Tears,The Weeknd & Ariana Grande,2021,1,2fyOpT5c9kxR8zbDh6UtXh,Save Your Tears (Remix),80,
3,Blinding Lights,The Weeknd,2021,1,2ektqBOgstESA5KX3CxdYU,Blinding Lights (Piano Version),57,https://p.scdn.co/mp3-preview/f01c1edc268d62bbbed8a5c3cb99f31cf0f4081d?cid=6a78982078cb477d900388b0470ad9ad
4,Mood,24kGoldn Featuring iann dior,2021,1,270o30h7cAlEhBnbuSpFZq,El Dorado,83,https://p.scdn.co/mp3-preview/c425299d5996843fc24308b896f7ce60fd262c99?cid=6a78982078cb477d900388b0470ad9ad
5,Good 4 U,Olivia Rodrigo,2021,1,4oGMRFfXsFU5b4oEBOXi5C,goodnight 4 u: Lullaby renditions of Olivia Rodrigo songs,29,https://p.scdn.co/mp3-preview/30473350d55ecb5c921aaa87eed7e4b1ae956509?cid=6a78982078cb477d900388b0470ad9ad
6,Kiss Me More,Doja Cat Featuring SZA,2021,1,1OnzqJTL9bwe4kvaLxRYxt,Kiss Me More (feat. SZA),77,https://p.scdn.co/mp3-preview/e3ea7622ca746e1e96c3dac7d7e07b7ccfdeb3f1?cid=6a78982078cb477d900388b0470ad9ad
7,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021,1,1YgekJJTEueWDaMr7BYqPk,An Evening With Silk Sonic,81,https://p.scdn.co/mp3-preview/2f06384101ad1a5aa6b02f6fc24b59789c2ab54d?cid=6a78982078cb477d900388b0470ad9ad
8,Drivers License,Olivia Rodrigo,2021,1,4oGMRFfXsFU5b4oEBOXi5C,goodnight 4 u: Lullaby renditions of Olivia Rodrigo songs,26,https://p.scdn.co/mp3-preview/942cd0f697e6bb497a49c3c9943bf0246dbb5e5b?cid=6a78982078cb477d900388b0470ad9ad
9,Montero (Call Me By Your Name),Lil Nas X,2021,1,5kPmG2T2fmFdzMN3u8AuLS,Piano Dreamers Cover Lil Nas X (Instrumental),5,https://p.scdn.co/mp3-preview/d3fa88c310e4f34e9a4328a85931285b6d334b10?cid=6a78982078cb477d900388b0470ad9ad
10,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021,1,5dGWwsZ9iB2Xc3UKR0gif2,Justice,81,
11,Butter,BTS,2021,1,0PBQ3Cp6NG8WX0G9KQVNMP,"Butter (Hotter, Sweeter, Cooler)",70,https://p.scdn.co/mp3-preview/4d63fe1638aa41592706f835bd076443b09d8afa?cid=6a78982078cb477d900388b0470ad9ad
12,Stay,The Kid LAROI & Justin Bieber,2021,1,576UTio7xgY7YUxrHMzxeI,F*CK LOVE 3+: OVER YOU,82,https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=6a78982078cb477d900388b0470ad9ad
13,Deja Vu,Olivia Rodrigo,2021,1,0m9lW0nm0dgJnAZIs2f3eO,Super Hits 38 - Party Tyme (Backing Versions),1,
14,Positions,Ariana Grande,2021,1,3euz4vS7ezKGnNSwgyvKcd,Positions,82,
15,Bad Habits,Ed Sheeran,2021,1,32iAEBstCjauDhyKpGjTuq,=,82,https://p.scdn.co/mp3-preview/22f3a86c8a83e364db595007f9ac1d666596a335?cid=6a78982078cb477d900388b0470ad9ad
16,Heat Waves,Glass Animals,2021,1,5bfpRtBW7RNRdsm3tRyl3R,Dreamland,89,
17,Without You,The Kid LAROI,2021,1,576UTio7xgY7YUxrHMzxeI,F*CK LOVE 3+: OVER YOU,77,https://p.scdn.co/mp3-preview/0cacbf2acaef9fc50d9ecd1f29eb33e543a5bc63?cid=6a78982078cb477d900388b0470ad9ad
18,Forever After All,Luke Combs,2021,1,25TJxI6ZH6XjT8geRQAFz5,What You See Ain't Always What You Get (Deluxe Edition),77,https://p.scdn.co/mp3-preview/27a6f63eadab286b8a819ad2e06c9c5dfcf7828f?cid=6a78982078cb477d900388b0470ad9ad
19,Go Crazy,Chris Brown & Young Thug,2021,1,7fZKtzZAsfH0kzeTivu5TG,Slime & B,75,https://p.scdn.co/mp3-preview/5953ca484a09698a5e34c5ac585e3ecddbae8b37?cid=6a78982078cb477d900388b0470ad9ad
20,Astronaut In The Ocean,Masked Wolf,2021,1,3I0dDlx3EuEi6XPl1ndSwA,Astronomical,57,https://p.scdn.co/mp3-preview/e89e477c2467c477031561ff801c055c5777de4f?cid=6a78982078cb477d900388b0470ad9ad
21,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021,1,74vajFwEwXJ61OW1DKSPEa,Positions (Deluxe),66,
22,What You Know Bout Love,Pop Smoke,2021,1,7e7t0MCrNDcJZsPwUKjmOc,Shoot For The Stars Aim For The Moon,80,
23,My Ex's Best Friend,Machine Gun Kelly X blackbear,2021,1,57lgFncHBYu5E3igZnuCJK,Tickets To My Downfall,75,
24,Industry Baby,Lil Nas X & Jack Harlow,2021,1,622NFw5Yk0OReMJ2XWcXUh,INDUSTRY BABY (feat. Jack Harlow),78,https://p.scdn.co/mp3-preview/e692ccfcdfe7010a8c1ed61de7937c7686ed072d?cid=6a78982078cb477d900388b0470ad9ad
25,Therefore I Am,Billie Eilish,2021,1,0JGOiO34nwfUdDrD612dOp,Happier Than Ever,73,
26,Up,Cardi B,2021,1,5BNrcvfbLyADks4RXPW7VP,Up,68,https://p.scdn.co/mp3-preview/41d08e5fd8023fe214995ee866aa1eff12e29578?cid=6a78982078cb477d900388b0470ad9ad
27,Fancy Like,Walker Hayes,2021,1,4sShdTo9jO2RGLgDkZBgN8,Country Stuff The Album,74,https://p.scdn.co/mp3-preview/c69e547d9f87c936d8f1cbaca921e0593db43572?cid=6a78982078cb477d900388b0470ad9ad
28,Dakiti,Bad Bunny & Jhay Cortez,2021,1,5RE3u3esh5NWmKGP1sKKwf,DÁKITI,50,https://p.scdn.co/mp3-preview/b79c3b550c5f7b7b963b2950c1a2a68272d049ea?cid=6a78982078cb477d900388b0470ad9ad
29,Best Friend,Saweetie Featuring Doja Cat,2021,1,0DqDdZGSQkWQiE0TzBqeLA,Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition],70,https://p.scdn.co/mp3-preview/a4373d337eb0f19cbf2424c0f20fb87ac862d0c8?cid=6a78982078cb477d900388b0470ad9ad
30,Rapstar,Polo G,2021,1,7KSf6p0G0mZd7j60etVTwT,Hall of Fame,80,https://p.scdn.co/mp3-preview/6920a1b1e7a88385654fdb76c83b054609d16172?cid=6a78982078cb477d900388b0470ad9ad
31,Heartbreak Anniversary,Giveon,2021,1,1zHR48K6XtWYm6bhrw4J6C,TAKE TIME,82,https://p.scdn.co/mp3-preview/12200deba2a2f8126ff4430d35fec1be2969e87f?cid=6a78982078cb477d900388b0470ad9ad
32,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021,1,7e7t0MCrNDcJZsPwUKjmOc,Shoot For The Stars Aim For The Moon,78,
33,Calling My Phone,Lil Tjay Featuring 6LACK,2021,1,3MEKpJ7wSSp6Z661ThjrUJ,Destined 2 Win,79,https://p.scdn.co/mp3-preview/687f6e37a7d7ae26e7a7a7bd252945da7d1bb894?cid=6a78982078cb477d900388b0470ad9ad
34,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,2021,1,1pCA38N6MkLlthXtAOvZTU,JORDI (Deluxe),78,
35,Holy,Justin Bieber Featuring Chance The Rapper,2021,1,4hR7jjsPvRwwcHx8ntJSQS,Holy,70,
36,On Me,Lil Baby,2021,1,25gJpQKgXxT5CrMitr0DQO,On Me,75,
37,You Broke Me First.,Tate McRae,2021,1,1BaHo66NCQNx6ku0hPn9bR,TOO YOUNG TO BE SAD,87,https://p.scdn.co/mp3-preview/58f29d1e29100ef77247a4bf0fa22b2cc3528c3f?cid=6a78982078cb477d900388b0470ad9ad
38,Traitor,Olivia Rodrigo,2021,1,3PAK2iiMMhTw4rTJV7cg3e,Piano Dreamers Cover Olivia Rodrigo (Instrumental),17,https://p.scdn.co/mp3-preview/dae613374164919b37f60042b800c221b23717d3?cid=6a78982078cb477d900388b0470ad9ad
39,Back In Blood,Pooh Shiesty Featuring Lil Durk,2021,1,2UwJ4Nt10VStLczYefhcEV,Shiesty Season,71,https://p.scdn.co/mp3-preview/8350279e780402393f669704e85f60dd517bc60c?cid=6a78982078cb477d900388b0470ad9ad
40,I Hope,Gabby Barrett Featuring Charlie Puth,2021,1,4Iqfx63CZhFGGIHiAvLxXY,Goldmine,61,https://p.scdn.co/mp3-preview/bfa518d2e1ff6bc87a8af8454fe799582cd09482?cid=6a78982078cb477d900388b0470ad9ad
41,Dynamite,BTS,2021,1,6nYfHQnvkvOTNHnOhDT3sr,BE,81,https://p.scdn.co/mp3-preview/98e266fea9df84fa3e5ca84934c513211e89489b?cid=6a78982078cb477d900388b0470ad9ad
42,Wockesha,Moneybagg Yo,2021,1,5ffogo3K3fYibGWa93IzUe,A Gangsta’s Pain,65,
43,You Right,Doja Cat & The Weeknd,2021,1,1nAQbHeOWTfQzbOoFrvndW,Planet Her,79,https://p.scdn.co/mp3-preview/6f9e50e5f716c7e2441d4e0262304656c5b108fa?cid=6a78982078cb477d900388b0470ad9ad
44,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021,1,6PZymRFp89JEYsgQyD5NNl,Final Destination,54,https://p.scdn.co/mp3-preview/4178b0f886c9c7d3f88c35b1e16cbf011c0d8603?cid=6a78982078cb477d900388b0470ad9ad
45,Laugh Now Cry Later,Drake Featuring Lil Durk,2021,1,5kTMOuwOinoSq1s9LjalgO,Laugh Now Cry Later (Originally Performed by Drake and Lil Durg) [Karaoke],25,https://p.scdn.co/mp3-preview/053a71d67e9c79037a7c849eccc2718d69e9a531?cid=6a78982078cb477d900388b0470ad9ad
46,Need To Know,Doja Cat,2021,1,7N3SiwnBMR1C8hcA4W1GtH,Need to Know,58,https://p.scdn.co/mp3-preview/153dc4a72a260497f8ea87a00e2af7afb0a0df08?cid=6a78982078cb477d900388b0470ad9ad
47,Wants And Needs,Drake Featuring Lil Baby,2021,1,6RxuBWYLCMtRHl7IpoVuhY,Scary Hours 2,55,
48,Way 2 Sexy,Drake Featuring Future & Young Thug,2021,1,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,75,
49,Telepatia,Kali Uchis,2021,1,00wSTrFxoSzA7eeS1UxHgd,Sin Miedo (del Amor y Otros Demonios) ∞,84,
50,Whoopty,CJ,2021,1,0kHRftVXaiRHgQdtviml0G,Loyalty Over Royalty,69,https://p.scdn.co/mp3-preview/bf6fd3cbe55af994e5cb911d93e2df39908aa3bc?cid=6a78982078cb477d900388b0470ad9ad
51,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,2021,1,0EjFvGf53LeeYU1txivvZP,B4 The Storm,49,https://p.scdn.co/mp3-preview/bcfec43d5bf1354cb4b14089a89adc7285815548?cid=6a78982078cb477d900388b0470ad9ad
52,Good Days,SZA,2021,1,781cKhbTPwLnPmo9BALQl7,Good Days,81,https://p.scdn.co/mp3-preview/ddda59aa9a028820fc0fb6ff05ae463924843191?cid=6a78982078cb477d900388b0470ad9ad
53,Starting Over,Chris Stapleton,2021,1,0sOeI7pbAmIc8aDFyvkBUW,Starting Over,78,
54,Body,Megan Thee Stallion,2021,1,0KjckH1EE6HRRurMIXSc0r,Good News,70,https://p.scdn.co/mp3-preview/ed79f0e76d66e1af410009f7bb7e6872a9d3bf45?cid=6a78982078cb477d900388b0470ad9ad
55,Willow,Taylor Swift,2021,1,2Xoteh7uEpea4TohMxjtaq,evermore,81,
56,Bang!,AJR,2021,1,0cev5DkOdS8wk0aRoac6Fh,OK ORCHESTRA,54,https://p.scdn.co/mp3-preview/37c8545d3a233a01180123ee3ecf6c6188eaa62b?cid=6a78982078cb477d900388b0470ad9ad
57,Better Together,Luke Combs,2021,1,0S9D5NIDp2YXhYwlvuJzqx,What You See Is What You Get,78,https://p.scdn.co/mp3-preview/dc03e6ce3863164c798191cda6d35161cdba5c15?cid=6a78982078cb477d900388b0470ad9ad
58,You're Mines Still,Yung Bleu Featuring Drake,2021,1,2VUhkRrg5dEJIGewOBOc7J,Moon Boy,70,https://p.scdn.co/mp3-preview/21f5c33d2661f639e16d8737c905aa23804e4cbf?cid=6a78982078cb477d900388b0470ad9ad
59,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,2021,1,5kE2OAuUYGBqqzscqgBXXf,KHALED KHALED,76,https://p.scdn.co/mp3-preview/1751fb43e83267f15296a0f19705e1b419f2de82?cid=6a78982078cb477d900388b0470ad9ad
60,Essence,Wizkid Featuring Justin Bieber & Tems,2021,1,0Rn8NAh8NnoaCOt8r8Tc3e,Essence (feat. Justin Bieber & Tems),64,https://p.scdn.co/mp3-preview/7a1eaedacbc1018448d72e36ae97b7a1d7789dc0?cid=6a78982078cb477d900388b0470ad9ad
61,Chasing After You,Ryan Hurd With Maren Morris,2021,1,5QUwCi1lbk0kZ5k87fRNbK,Chasing After You (with Maren Morris),63,https://p.scdn.co/mp3-preview/bd02f15607572ead9e9cbb40c150f26496701158?cid=6a78982078cb477d900388b0470ad9ad
62,The Good Ones,Gabby Barrett,2021,1,4Iqfx63CZhFGGIHiAvLxXY,Goldmine,72,https://p.scdn.co/mp3-preview/eba6abfb276d62b13089eb1a78a8fbe6e80bef4e?cid=6a78982078cb477d900388b0470ad9ad
63,Leave Before You Love Me,Marshmello X Jonas Brothers,2021,1,66JuK41D3LpkbX3HCTGcQk,Leave Before You Love Me,83,
64,Glad You Exist,Dan + Shay,2021,1,7L8IHgiomfEpxOm61vgPTm,Good Things,62,https://p.scdn.co/mp3-preview/ff1f308c7bfb9ee10b709e82c2fea2a4498b4a1d?cid=6a78982078cb477d900388b0470ad9ad
65,Lonely,Justin Bieber & benny blanco,2021,1,5dGWwsZ9iB2Xc3UKR0gif2,Justice,73,
66,Beggin',Maneskin,2021,1,2qJw6w5XwQO0PQlSWPu7Tw,Chosen,85,https://p.scdn.co/mp3-preview/39cd7cd4317a9e4c4fa1277a51eeadb2e300c7de?cid=6a78982078cb477d900388b0470ad9ad
67,Streets,Doja Cat,2021,1,1MmVkhiwTH0BkNOU3nw5d3,Hot Pink,84,https://p.scdn.co/mp3-preview/cfd56a96b447ee2982d1d6acefaea64992a9f44c?cid=6a78982078cb477d900388b0470ad9ad
68,What's Next,Drake,2021,1,5LuoozUhs2pl3glZeAJl89,Scary Hours 2,70,
69,Famous Friends,Chris Young + Kane Brown,2021,1,4WyhB7bn1Dy3w7GBWUAO1a,Famous Friends,67,https://p.scdn.co/mp3-preview/6a5f5410494abb2e07e0fd316ed0b44dceb51092?cid=6a78982078cb477d900388b0470ad9ad
70,Lil Bit,Nelly & Florida Georgia Line,2021,1,1a7BlXLCqjTxQh6X8L9JBL,Heartland,67,https://p.scdn.co/mp3-preview/4d34f02cae6e104c22ad4efdab01e1d55094a4fd?cid=6a78982078cb477d900388b0470ad9ad
71,Thot Shit,Megan Thee Stallion,2021,1,6B26OzQRObxAp1tbf8jeTq,Something for Thee Hotties,67,https://p.scdn.co/mp3-preview/d37389b5f4e97a6e68e9d47c0891c19300b48dfb?cid=6a78982078cb477d900388b0470ad9ad
72,Late At Night,Roddy Ricch,2021,1,1eVrpJbHRLBbioB9sb5b94,LIVE LIFE FAST,63,https://p.scdn.co/mp3-preview/381c3ea5e37199b5e1f5f841b220f87c0092d5e8?cid=6a78982078cb477d900388b0470ad9ad
73,Kings & Queens,Ava Max,2021,1,26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell,80,https://p.scdn.co/mp3-preview/dc90347787fa47daa898d4ffbfff36074d184d64?cid=6a78982078cb477d900388b0470ad9ad
74,Anyone,Justin Bieber,2021,1,51kijm0sjZz0yOa3kVBPUU,Anyone,69,
75,Track Star,Mooski,2021,1,7yvSdViuYJjZwXWtSwYu3D,Track Star,56,
76,Time Today,Moneybagg Yo,2021,1,5ffogo3K3fYibGWa93IzUe,A Gangsta’s Pain,73,
77,Cry Baby,Megan Thee Stallion Featuring DaBaby,2021,1,0KjckH1EE6HRRurMIXSc0r,Good News,66,https://p.scdn.co/mp3-preview/38c18f22cc53fedd7bde5b28c735a06300967d43?cid=6a78982078cb477d900388b0470ad9ad
